Verilator Statistics Report

Information:
  Verilator 4.210 2021-07-07 rev v4.210
  Arguments: --cc --exe --top-module SimTop +define+VERILATOR=1 +define+PRINTF_COND=1 +define+RANDOMIZE_REG_INIT +define+RANDOMIZE_MEM_INIT +define+RANDOMIZE_GARBAGE_ASSIGN +define+RANDOMIZE_DELAY=31 +define+BENCHMARK=0 -I/home/ethan/Arch-Table/build/../vsrc --x-assign unique -O3 -CFLAGS -g -std=c++11 -static -Wall -I/home/ethan/Arch-Table/difftest/src/test/csrc -I/home/ethan/Arch-Table/difftest/src/test/csrc/common -I/home/ethan/Arch-Table/difftest/src/test/csrc/difftest -DVERILATOR -Wno-maybe-uninitialized  -DNUM_CORES=1 -LDFLAGS -lpthread -lSDL2 -ldl -lz --trace --assert --stats-vars --output-split 30000 --output-split-cfuncs 30000 --trace-fst --trace-structs --no-trace-params -y ../vsrc/ram -o /home/ethan/Arch-Table/build/emu -Mdir ../build/emu-compile ../build/../vsrc/SimTop.sv ./src/test/vsrc/common/assert.v ./src/test/vsrc/common/SimJTAG.v ./src/test/vsrc/common/ram.v ./src/test/vsrc/common/EICG_wrapper.v ./src/test/vsrc/common/ram.sv ./src/test/vsrc/common/difftest.v ./src/test/vsrc/common/ref.v /home/ethan/Arch-Table/difftest/src/test/csrc/difftest/spikedasm.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/difftest/difftest.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/difftest/goldenmem.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/difftest/interface.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/difftest/nemuproxy.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/difftest/ref.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/vcs/main.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/common/sdcard.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/common/remote_bitbang.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/common/ram.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/common/vga.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/common/keyboard.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/common/SimJTAG.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/common/device.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/common/uart.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/common/axi4.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/common/common.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/common/compress.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/common/flash.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/verilator/emu.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/verilator/snapshot.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/verilator/main.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/common/sdcard.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/common/remote_bitbang.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/common/ram.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/common/vga.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/common/keyboard.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/common/SimJTAG.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/common/device.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/common/uart.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/common/axi4.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/common/common.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/common/compress.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/common/flash.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/difftest/spikedasm.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/difftest/difftest.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/difftest/goldenmem.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/difftest/interface.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/difftest/nemuproxy.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/difftest/ref.cpp
  Node pairs, ASSIGNW_CONDBOUND                                              2          2
  Node pairs, ASSIGNW_CONST                                       8
  Node pairs, ASSIGNW_DOT                                         6
  Node pairs, ASSIGNW_ENUMITEMREF                                 3
  Node pairs, ASSIGNW_EQ                                          1
  Node pairs, ASSIGNW_FUNCREF                                     2
  Node pairs, ASSIGNW_LOGAND                                      2
  Node pairs, ASSIGNW_LT                                          2          2          2          2          1
  Node pairs, ASSIGNW_LTS                                                    2          2          2          1
  Node pairs, ASSIGNW_MEMBERSEL                                  57
  Node pairs, ASSIGNW_OR                                                                           2          1
  Node pairs, ASSIGNW_PARSEREF                                   15
  Node pairs, ASSIGNW_RAND                                        1
  Node pairs, ASSIGNW_REDOR                                       1
  Node pairs, ASSIGNW_REPLICATE                                   3
  Node pairs, ASSIGNW_SEL                                                    8          8
  Node pairs, ASSIGNW_SELBIT                                     35
  Node pairs, ASSIGNW_SELEXTRACT                                  2
  Node pairs, ASSIGNW_SELMINUS                                    2
  Node pairs, ASSIGNW_VARREF                                     20         26         26         10          5
  Node pairs, ASSIGN_ADD                                          7          2          2          2          1
  Node pairs, ASSIGN_AND                                          1          1          1         20          5
  Node pairs, ASSIGN_ARRAYSEL                                               35         46         46          4
  Node pairs, ASSIGN_CCAST                                                                       161         69
  Node pairs, ASSIGN_CMATH                                                   7          7          5
  Node pairs, ASSIGN_CONCAT                                                  6          6
  Node pairs, ASSIGN_COND                                                   15         15         23         12
  Node pairs, ASSIGN_CONST                                       60         50         61        108         27
  Node pairs, ASSIGN_EQ                                           2
  Node pairs, ASSIGN_EXTEND                                                  4          4          2          1
  Node pairs, ASSIGN_FUNCREF                                      2
  Node pairs, ASSIGN_LOGNOT                                       1
  Node pairs, ASSIGN_LOGOR                                        1
  Node pairs, ASSIGN_MEMBERSEL                                   11
  Node pairs, ASSIGN_OR                                           1          1          1         53         26
  Node pairs, ASSIGN_PARSEREF                                     4
  Node pairs, ASSIGN_RAND                                                    8          8          8
  Node pairs, ASSIGN_REDAND                                       1
  Node pairs, ASSIGN_REPLICATE                                   15
  Node pairs, ASSIGN_SEL                                                    26         26
  Node pairs, ASSIGN_SELBIT                                       3
  Node pairs, ASSIGN_SHIFTL                                       1                                4          2
  Node pairs, ASSIGN_SHIFTR                                       1                                2          1
  Node pairs, ASSIGN_SHIFTRS                                      1
  Node pairs, ASSIGN_SUB                                          2
  Node pairs, ASSIGN_VARREF                                     112         89         93         77         31
  Node pairs, ASSIGN_WORDSEL                                                                     397        171
  Node pairs, ASSIGN_XOR                                          4
  Node pairs, ATTROF_MEMBERSEL                                    8
  Node pairs, ATTROF_VARREF                                      83
  Node pairs, BASICDTYPE_RANGE                                  323
  Node pairs, BEGIN_ASSIGN                                       11
  Node pairs, BEGIN_ASSIGNDLY                                    18
  Node pairs, BEGIN_BEGIN                                         2
  Node pairs, BEGIN_CASE                                          4
  Node pairs, BEGIN_DISPLAY                                       6
  Node pairs, BEGIN_GENFOR                                        2
  Node pairs, BEGIN_IF                                           34
  Node pairs, BEGIN_TASKREF                                      13
  Node pairs, BEGIN_VAR                                           4
  Node pairs, CASEITEM_ASSIGN                                    63
  Node pairs, CASEITEM_ASSIGNDLY                                  4
  Node pairs, CASEITEM_BEGIN                                      7
  Node pairs, CASEITEM_CASE                                       2
  Node pairs, CASEITEM_CONST                                     64
  Node pairs, CASEITEM_ENUMITEMREF                                6
  Node pairs, CASEITEM_IF                                         3
  Node pairs, CASE_CASEITEM                                      11
  Node pairs, CASE_MEMBERSEL                                      1
  Node pairs, CASE_REPLICATE                                      2
  Node pairs, CASE_SELEXTRACT                                     1
  Node pairs, CASE_VARREF                                         7
  Node pairs, CASTPARSE_CONST                                     3
  Node pairs, CASTPARSE_MEMBERSEL                                 3
  Node pairs, CCALL_CONST                                                    6          6          6          4
  Node pairs, CCALL_VARREF                                                   3          3          3
  Node pairs, CCAST_AND                                                                           27         12
  Node pairs, CCAST_ARRAYSEL                                                                      64         32
  Node pairs, CCAST_CCAST                                                                        518        122
  Node pairs, CCAST_COND                                                                           2          1
  Node pairs, CCAST_CONST                                                                        202         91
  Node pairs, CCAST_EQ                                                                             4          3
  Node pairs, CCAST_MODDIVS                                                                        1
  Node pairs, CCAST_NEGATE                                                                         4          2
  Node pairs, CCAST_NEQ                                                                            3          1
  Node pairs, CCAST_OR                                                                            26         13
  Node pairs, CCAST_RAND                                                                           1
  Node pairs, CCAST_SHIFTR                                                                       122         53
  Node pairs, CCAST_VARREF                                                                       178         53
  Node pairs, CCAST_WORDSEL                                                                      452         98
  Node pairs, CELL_PIN                                           24
  Node pairs, CFUNC_ASSIGN                                                              3          3          2
  Node pairs, CFUNC_ASSIGNPRE                                                           1          1          1
  Node pairs, CFUNC_CCALL                                                    1          5          5
  Node pairs, CFUNC_CHANGEDET                                                           1          1
  Node pairs, CFUNC_CRESET                                                                         1
  Node pairs, CFUNC_CRETURN                                                             1          1
  Node pairs, CFUNC_CSTMT                                                   18         22         22          4
  Node pairs, CFUNC_IF                                                                  3          4          1
  Node pairs, CFUNC_TEXT                                                                1          1
  Node pairs, CFUNC_TRACEDECL                                                1          1          1
  Node pairs, CFUNC_TRACEINC                                                            1          1
  Node pairs, CFUNC_VAR                                                     35         35         37          9
  Node pairs, CMATH_TEXT                                                    23         23         23          1
  Node pairs, CONCAT_ARRAYSEL                                               64         64
  Node pairs, CONCAT_CONCAT                                      31        128        128
  Node pairs, CONCAT_COND                                         1          2          2
  Node pairs, CONCAT_CONST                                       12         22         22
  Node pairs, CONCAT_ENUMITEMREF                                  1
  Node pairs, CONCAT_EQ                                                     52         52
  Node pairs, CONCAT_EXTEND                                                  2          2
  Node pairs, CONCAT_FUNCREF                                      1
  Node pairs, CONCAT_MEMBERSEL                                    2
  Node pairs, CONCAT_REDOR                                                   2          2
  Node pairs, CONCAT_REPLICATE                                   11         34         34
  Node pairs, CONCAT_SEL                                                    48         48
  Node pairs, CONCAT_SELBIT                                       4
  Node pairs, CONCAT_SELEXTRACT                                  12
  Node pairs, CONCAT_VARREF                                      43         14         14
  Node pairs, CONDBOUND_CCAST                                                                      4          1
  Node pairs, CONDBOUND_GTE                                                  8          8          4          1
  Node pairs, CONDBOUND_SEL                                                  8          8
  Node pairs, CONDBOUND_SHIFTR                                                                     4          1
  Node pairs, CONDBOUND_VARREF                                               8          8
  Node pairs, COND_ADD                                            1         17         14         14          4
  Node pairs, COND_AND                                            1          3          3        244        119
  Node pairs, COND_ARRAYSEL                                                  2          2          2          1
  Node pairs, COND_CCAST                                                                          21         11
  Node pairs, COND_CONCAT                                                   16         16
  Node pairs, COND_COND                                           4        225        223        223        110
  Node pairs, COND_CONDBOUND                                                 2          2
  Node pairs, COND_CONST                                          4        132        132        150         74
  Node pairs, COND_DOT                                            1
  Node pairs, COND_ENUMITEMREF                                    8
  Node pairs, COND_EQ                                             7          1          1         21         10
  Node pairs, COND_EXTEND                                                    4          4
  Node pairs, COND_GT                                             3
  Node pairs, COND_GTE                                                                            10          5
  Node pairs, COND_LT                                                        2          2          2          1
  Node pairs, COND_MEMBERSEL                                      1
  Node pairs, COND_OR                                                       11          9         31         15
  Node pairs, COND_PARSEREF                                       3
  Node pairs, COND_SEL                                                     249        246
  Node pairs, COND_SELBIT                                         3
  Node pairs, COND_SELEXTRACT                                     2
  Node pairs, COND_SHIFTL                                                    2          2         22         11
  Node pairs, COND_SHIFTR                                         4          6          6          6          3
  Node pairs, COND_SUB                                            1          4          4          4          2
  Node pairs, COND_VARREF                                         2         87         85         71         34
  Node pairs, COND_WORDSEL                                                                        14          7
  Node pairs, COND_XOR                                                       2          2          2          1
  Node pairs, CONSTPOOL_MODULE                                    1          1          1          1
  Node pairs, CRESET_VARREF                                                                       79
  Node pairs, CRETURN_CCALL                                                             1          1
  Node pairs, CSTMT_TEXT                                                   439        447        451        138
  Node pairs, DISPLAY_CONST                                       1          1          1          1
  Node pairs, DISPLAY_SFORMATF                                    7         12         12         12          1
  Node pairs, DOT_PARSEREF                                       38
  Node pairs, DOT_SELBIT                                          2
  Node pairs, ENUMDTYPE_ENUMITEM                                  4          4          4          4
  Node pairs, ENUMDTYPE_REFDTYPE                                  4
  Node pairs, ENUMITEM_CONST                                     14         21         21         21
  Node pairs, EQ_ADD                                              1          1          1          1
  Node pairs, EQ_AND                                                                              34         13
  Node pairs, EQ_CCAST                                                                            22          4
  Node pairs, EQ_CONST                                           32        117        116        140         27
  Node pairs, EQ_ENUMITEMREF                                      4
  Node pairs, EQ_MEMBERSEL                                        4
  Node pairs, EQ_OR                                                                                2
  Node pairs, EQ_PARSEREF                                         3
  Node pairs, EQ_REPLICATE                                        1
  Node pairs, EQ_SEL                                                        12         12
  Node pairs, EQ_VARREF                                          35        106        105         83         10
  Node pairs, EXTEND_SEL                                                     3          3
  Node pairs, EXTEND_VARREF                                                 13         13          2          1
  Node pairs, FFLUSH_CONST                                        1          1          1          1
  Node pairs, FUNCREF_ARG                                         8
  Node pairs, FUNC_VAR                                            9
  Node pairs, GENFOR_ASSIGN                                       4
  Node pairs, GENFOR_ASSIGNW                                      2
  Node pairs, GENFOR_LT                                           2
  Node pairs, GTE_ADD                                                        4          4
  Node pairs, GTE_AND                                                                             18          7
  Node pairs, GTE_CONST                                           4          8          8         18          7
  Node pairs, GTE_PARSEREF                                        2
  Node pairs, GTE_SEL                                                        4          4
  Node pairs, GTE_VARREF                                          2
  Node pairs, GTS_CONST                                                      2          2          2          1
  Node pairs, GTS_VARREF                                                     2          2          2          1
  Node pairs, GT_CONST                                            3
  Node pairs, GT_DOT                                              2
  Node pairs, GT_VARREF                                           3          2          2          2
  Node pairs, IF_AND                                              6          6         10         44          5
  Node pairs, IF_ARRAYSEL                                                               6          6
  Node pairs, IF_ASSIGN                                          26         25         25         34          9
  Node pairs, IF_ASSIGNDLY                                        9         21         21         20          3
  Node pairs, IF_BEGIN                                           39
  Node pairs, IF_CASE                                             1
  Node pairs, IF_CCALL                                                       6          8          8          3
  Node pairs, IF_CCAST                                                                             2          1
  Node pairs, IF_CMATH                                                      12         12         12          1
  Node pairs, IF_CONDBOUND                                                   4          4
  Node pairs, IF_CONST                                            2                     2
  Node pairs, IF_CSTMT                                                                             4
  Node pairs, IF_DISPLAY                                          1         12         12         12          1
  Node pairs, IF_EQ                                              24         58         58         58          4
  Node pairs, IF_GTE                                              2                                4          1
  Node pairs, IF_IF                                               5         41         41         41          4
  Node pairs, IF_LOGAND                                          10
  Node pairs, IF_LOGNOT                                           2
  Node pairs, IF_LOGOR                                            8
  Node pairs, IF_LTE                                                         2          2          2
  Node pairs, IF_MEMBERSEL                                       10
  Node pairs, IF_NEQ                                              2          2          2          2
  Node pairs, IF_NOT                                              4          8          8
  Node pairs, IF_ONEHOT0                                                     4          4          4          1
  Node pairs, IF_OR                                               4          6          6          6
  Node pairs, IF_PARSEREF                                        14
  Node pairs, IF_SEL                                                        16         16
  Node pairs, IF_SELBIT                                           2
  Node pairs, IF_TASKREF                                          1
  Node pairs, IF_TRACEINC                                                               4          3
  Node pairs, IF_VARREF                                          18         18         18         22          7
  Node pairs, INITARRAY_CONST                                                1          1          1
  Node pairs, INITARRAY_INITITEM                                             1          1          1
  Node pairs, INITIAL_ASSIGN                                      2         13
  Node pairs, INITIAL_BEGIN                                       1
  Node pairs, INITITEM_CONST                                                64         64         64
  Node pairs, JUMPBLOCK_JUMPLABEL                                 1          2          2          2          1
  Node pairs, JUMPBLOCK_WHILE                                     1          2          2          2          1
  Node pairs, LOGAND_DOT                                          4
  Node pairs, LOGAND_EQ                                           4
  Node pairs, LOGAND_GTE                                          2
  Node pairs, LOGAND_MEMBERSEL                                    2
  Node pairs, LOGAND_NEQ                                          4
  Node pairs, LOGAND_PARSEREF                                     8
  Node pairs, LOGAND_VARREF                                       2
  Node pairs, LOGNOT_PARSEREF                                     3
  Node pairs, LOGOR_LOGOR                                        24
  Node pairs, LOGOR_NEQ                                          36
  Node pairs, LOGOR_PARSEREF                                      6
  Node pairs, LTE_CONST                                                      2          2          2
  Node pairs, LTE_VARREF                                                     2          2          2
  Node pairs, LTS_VARREF                                                     4          4          4          2
  Node pairs, LT_CONST                                            3          2          2          2          1
  Node pairs, LT_PARSEREF                                         1
  Node pairs, LT_SIGNED                                           2
  Node pairs, LT_VARREF                                           8          6          6          6          3
  Node pairs, MEMBERDTYPE_BASICDTYPE                             10
  Node pairs, MEMBERDTYPE_REFDTYPE                               46
  Node pairs, MEMBERSEL_SELBIT                                    2
  Node pairs, MEMBERSEL_VARREF                                  238
  Node pairs, MODDIVS_CCAST                                                                        2
  Node pairs, MODDIVS_CONST                                                  1          1
  Node pairs, MODDIVS_RAND                                                   1          1
  Node pairs, MODDIV_CONST                                        1
  Node pairs, MODDIV_RAND                                         1
  Node pairs, MODULE_PACKAGEIMPORT                                1
  Node pairs, MODULE_PORT                                        11
  Node pairs, MODULE_SCOPE                                        1          1          1          1
  Node pairs, MODULE_VAR                                         25          1          1          1
  Node pairs, MUL_CCAST                                                                          126         59
  Node pairs, MUL_CONST                                           2         16         16
  Node pairs, MUL_PARSEREF                                        1
  Node pairs, MUL_VARREF                                          1         16         16        126         59
  Node pairs, NEGATE_CCAST                                                                        34         17
  Node pairs, NEQ_AND                                                                             67          3
  Node pairs, NEQ_CONST                                           6          4          4          9          3
  Node pairs, NEQ_DOT                                             2
  Node pairs, NEQ_MEMBERSEL                                      72
  Node pairs, NEQ_OR                                                                              12
  Node pairs, NEQ_SEL                                                       74         74
  Node pairs, NEQ_VARREF                                          4          2          2          2
  Node pairs, NETLIST_CFILE                                                                        1
  Node pairs, NETLIST_MODULE                                      1          1          1          1
  Node pairs, NETLIST_TYPETABLE                                   1          1          1          1
  Node pairs, NOT_CCAST                                                                            4          2
  Node pairs, NOT_ONEHOT0                                                    8          8          8          1
  Node pairs, NOT_SUB                                             2          2          2          2
  Node pairs, NOT_VARREF                                          4                     4
  Node pairs, ONEHOT0_CONCAT                                                12         12
  Node pairs, ONEHOT0_OR                                                                          12          2
  Node pairs, OR_AND                                                         1          1         67         33
  Node pairs, OR_CCAST                                                                           139         48
  Node pairs, OR_COND                                                                             20         10
  Node pairs, OR_CONST                                                       1          1          9          3
  Node pairs, OR_EQ                                               2                               16          3
  Node pairs, OR_NEQ                                                        36         36         38          1
  Node pairs, OR_OR                                                         24         24        144         24
  Node pairs, OR_PARSEREF                                         2
  Node pairs, OR_SEL                                                        13         10
  Node pairs, OR_SHIFTL                                                                          363         91
  Node pairs, OR_SHIFTR                                                                          124         31
  Node pairs, OR_VARREF                                           8          9          8          4          2
  Node pairs, OR_WORDSEL                                                                           4          2
  Node pairs, PACKAGE_SCOPE                                                  2          1          1
  Node pairs, PACKAGE_TASK                                        1
  Node pairs, PACKAGE_VAR                                         2
  Node pairs, PACKARRAYDTYPE_RANGE                                2          2          2          2
  Node pairs, PACKARRAYDTYPE_REFDTYPE                             2
  Node pairs, PIN_CONST                                          35
  Node pairs, PIN_MEMBERSEL                                      32
  Node pairs, PIN_REPLICATE                                       3
  Node pairs, PIN_SELBIT                                          1
  Node pairs, PIN_SELEXTRACT                                      7
  Node pairs, PIN_VARREF                                        116
  Node pairs, RANGE_CONST                                       623          8         10         10
  Node pairs, RANGE_SUB                                          27
  Node pairs, RANGE_VARREF                                        2
  Node pairs, REDAND_REPLICATE                                    1
  Node pairs, REDOR_MEMBERSEL                                     1
  Node pairs, REDOR_SEL                                                      2          2
  Node pairs, REPLICATE_AND                                                  2          2
  Node pairs, REPLICATE_CONCAT                                   26
  Node pairs, REPLICATE_CONST                                    42         34         34
  Node pairs, REPLICATE_DOT                                       1
  Node pairs, REPLICATE_REPLICATE                                 1
  Node pairs, REPLICATE_SEL                                                 32         32
  Node pairs, REPLICATE_SELBIT                                    9
  Node pairs, REPLICATE_SUB                                       8
  Node pairs, REPLICATE_VARREF                                    1
  Node pairs, SCOPENAME_TEXT                                                12         12         12          2
  Node pairs, SCOPE_CFUNC                                                    2          2
  Node pairs, SCOPE_VARSCOPE                                                 3          3
  Node pairs, SELBIT_ATTROF                                      62
  Node pairs, SELBIT_CONST                                       54
  Node pairs, SELBIT_MEMBERSEL                                    5
  Node pairs, SELBIT_PARSEREF                                     4
  Node pairs, SELBIT_VARREF                                      67
  Node pairs, SELEXTRACT_ATTROF                                  28
  Node pairs, SELEXTRACT_CONST                                   56
  Node pairs, SELEXTRACT_MEMBERSEL                                3
  Node pairs, SELEXTRACT_VARREF                                  25
  Node pairs, SELMINUS_ADD                                        2
  Node pairs, SELMINUS_ATTROF                                     1
  Node pairs, SELMINUS_CONST                                      2
  Node pairs, SELMINUS_PARSEREF                                   1
  Node pairs, SELMINUS_VARREF                                     1
  Node pairs, SEL_ADD                                                        4          4
  Node pairs, SEL_CMATH                                                      4          4
  Node pairs, SEL_CONST                                                   1844       1694
  Node pairs, SEL_MODDIVS                                                    1          1
  Node pairs, SEL_MUL                                                       16         16
  Node pairs, SEL_SEL                                                        4          4
  Node pairs, SEL_SHIFTL                                                     1          1
  Node pairs, SEL_VARREF                                                   904        829
  Node pairs, SENITEM_PARSEREF                                   12
  Node pairs, SENITEM_VARREF                                     14          2
  Node pairs, SENTREE_SENITEM                                    26          5
  Node pairs, SFORMATF_AND                                                                         1
  Node pairs, SFORMATF_CONST                                      1
  Node pairs, SFORMATF_SCOPENAME                                             6          6          6          1
  Node pairs, SFORMATF_SEL                                                   1          1
  Node pairs, SFORMATF_SELEXTRACT                                 1
  Node pairs, SFORMATF_TIME                                                  6          6          6          1
  Node pairs, SFORMATF_VARREF                                     1          1          1          1
  Node pairs, SHIFTL_ADD                                          3          3          3          3
  Node pairs, SHIFTL_AND                                                                           7          1
  Node pairs, SHIFTL_CCAST                                                                       294         68
  Node pairs, SHIFTL_CONST                                        2          2          2        382        100
  Node pairs, SHIFTL_EQ                                                                           36          7
  Node pairs, SHIFTL_MEMBERSEL                                    5
  Node pairs, SHIFTL_NEGATE                                                                       20         10
  Node pairs, SHIFTL_OR                                                                            2          1
  Node pairs, SHIFTL_SEL                                                     7          7
  Node pairs, SHIFTL_SELEXTRACT                                   1
  Node pairs, SHIFTL_SUB                                                                          20         10
  Node pairs, SHIFTL_VARREF                                       1          2          2          4          2
  Node pairs, SHIFTL_WORDSEL                                                                      48         23
  Node pairs, SHIFTRS_SELEXTRACT                                  1
  Node pairs, SHIFTRS_VARREF                                      1
  Node pairs, SHIFTR_ADD                                                                           4          1
  Node pairs, SHIFTR_AND                                                                          28         13
  Node pairs, SHIFTR_ARRAYSEL                                                                     64         32
  Node pairs, SHIFTR_CCAST                                                                       120         19
  Node pairs, SHIFTR_CONST                                        4          2          2        525        127
  Node pairs, SHIFTR_FUNCREF                                      1
  Node pairs, SHIFTR_MUL                                                                          40         20
  Node pairs, SHIFTR_OR                                                                           12          6
  Node pairs, SHIFTR_SEL                                                     4          4
  Node pairs, SHIFTR_SELEXTRACT                                   1
  Node pairs, SHIFTR_SUB                                          3          2          2          2          1
  Node pairs, SHIFTR_VARREF                                       1          4          4         83         30
  Node pairs, SHIFTR_WORDSEL                                                                     228         31
  Node pairs, SIGNED_VARREF                                       2
  Node pairs, STRUCTDTYPE_MEMBERDTYPE                             7          7          6          6
  Node pairs, SUB_AND                                                                             20         10
  Node pairs, SUB_CCAST                                                                           26         10
  Node pairs, SUB_CONST                                          81          9          9          6          2
  Node pairs, SUB_DOT                                             2
  Node pairs, SUB_PARSEREF                                        1
  Node pairs, SUB_SHIFTL                                          2          2          2          2
  Node pairs, SUB_VARREF                                          8         11         11          8          4
  Node pairs, TASKREF_ARG                                        14
  Node pairs, TASK_VAR                                           13
  Node pairs, TOPSCOPE_SCOPE                                                 1          1          1
  Node pairs, TOPSCOPE_SENTREE                                               1
  Node pairs, TRACEDECL_ADD                                                  4
  Node pairs, TRACEDECL_AND                                                 10
  Node pairs, TRACEDECL_ARRAYSEL                                             3
  Node pairs, TRACEDECL_COND                                                 6
  Node pairs, TRACEDECL_CONST                                               46
  Node pairs, TRACEDECL_EQ                                                   3
  Node pairs, TRACEDECL_SEL                                                320
  Node pairs, TRACEDECL_VARREF                                             121
  Node pairs, TRACEINC_ADD                                                              2          2
  Node pairs, TRACEINC_AND                                                              4        158
  Node pairs, TRACEINC_ARRAYSEL                                                         2          2
  Node pairs, TRACEINC_CCAST                                                                       2
  Node pairs, TRACEINC_COND                                                             4          4
  Node pairs, TRACEINC_CONST                                                           10         10
  Node pairs, TRACEINC_EQ                                                               2          2
  Node pairs, TRACEINC_OR                                                                        108
  Node pairs, TRACEINC_SEL                                                            264
  Node pairs, TRACEINC_VARREF                                                         106        106
  Node pairs, TYPEDEF_BASICDTYPE                                 50
  Node pairs, TYPEDEF_ENUMDTYPE                                   4
  Node pairs, TYPEDEF_REFDTYPE                                    6
  Node pairs, TYPEDEF_STRUCTDTYPE                                 7
  Node pairs, TYPETABLE_BASICDTYPE                                1          1          1          1
  Node pairs, UNPACKARRAYDTYPE_BASICDTYPE                         1
  Node pairs, UNPACKARRAYDTYPE_RANGE                              1          2          3          3
  Node pairs, VAR_BASICDTYPE                                    651
  Node pairs, VAR_COND                                            1
  Node pairs, VAR_CONST                                           6
  Node pairs, VAR_INITARRAY                                                  1          1          1
  Node pairs, VAR_PACKARRAYDTYPE                                  2
  Node pairs, VAR_REFDTYPE                                       55
  Node pairs, VAR_SUB                                             1
  Node pairs, VAR_UNPACKARRAYDTYPE                                1
  Node pairs, VAR_VARREF                                          1
  Node pairs, WHILE_ASSIGN                                        4          2          2          2          1
  Node pairs, WHILE_BEGIN                                         2
  Node pairs, WHILE_GTS                                                      2          2          2          1
  Node pairs, WHILE_IF                                                       2          2          2          1
  Node pairs, WHILE_LT                                            3
  Node pairs, WORDSEL_ADD                                                                         36         18
  Node pairs, WORDSEL_AND                                                                          8          3
  Node pairs, WORDSEL_CONST                                                                     1164        315
  Node pairs, WORDSEL_VARREF                                                                    1208        336
  Node pairs, XOR_SELBIT                                          3
  Node pairs, XOR_VARREF                                          5          4          4          4          2

  Var space, non-arrays, bytes                                    0       2941       2887       2952       1006
  Var space, scoped, bytes                                                1398       1364

  Vars, clock attribute                                           0          1          1          1          0
  Vars, unpacked arrayed                                          0          2          3          3          0
  Vars, width     1 SimTop.core.Cnd                                          1          1          1
  Vars, width     1 SimTop.core.run                                          1          1          1
  Vars, width     1 SimTop.core.runrun                                       1          1          1
  Vars, width     1 SimTop.core.runrunrun                                    1          1          1
  Vars, width     1 SimTop.core.runrunrunrun                                 1          1          1
  Vars, width     1 SimTop.core.runrunrunrunrun                              1          1          1
  Vars, width     1 SimTop.core.s_less                                       1          1          1
  Vars, width     1 SimTop.core.u_BranchUnit.__Vxrand1                       1          1          1
  Vars, width     1 SimTop.core.u_less                                       1          1          1
  Vars, width     1 SimTop.exint                                             1          1          1
  Vars, width     1 SimTop.mux.__Vxrand3                                     1          1          1
  Vars, width     1 SimTop.mux.busy                                          1          1          1
  Vars, width     1 SimTop.ram.msip                                          1          1          1
  Vars, width     1 SimTop.swint                                             1          1          1
  Vars, width     1 SimTop.trint                                             1          1          1
  Vars, width     1 TABLE_f37f1103_0                                         1          1          1
  Vars, width     1 __Vclklast__TOP__clock                                              1          1
  Vars, width     1 __Vdly__SimTop.exint                                     1
  Vars, width     1 __Vdly__SimTop.mux.busy                                  1          1          1          1
  Vars, width     1 __Vdly__SimTop.ram.msip                                  1          1          1          1
  Vars, width     1 __Vdly__SimTop.swint                                     1
  Vars, width     1 __Vdly__SimTop.trint                                     1
  Vars, width     1 __Vm_traceActivity                                                  1          1
  Vars, width     1 atomicResp                                               2          2          2
  Vars, width     1 clock                                                    1          1          1
